,curv,lat_middle,lon_middle,lanes,road_category,road_name,direction
17899,-0.0009121045943557352,47.67662641755508,10.396123115077106,3,Autobahn,A7,S
17900,-0.0009124414622604693,47.676628113821685,10.396136302553867,3,Autobahn,A7,S
17901,-0.000912787402191707,47.67662979953444,10.396149498946674,3,Autobahn,A7,S
17902,-0.000913138501508316,47.67663147336479,10.396162696162063,3,Autobahn,A7,S
17903,-0.0009134912178525744,47.67663313560624,10.396175894219445,3,Autobahn,A7,S
17904,-0.0009138423638070523,47.67663478606346,10.396189092240382,3,Autobahn,A7,S
17905,-0.0009141890901441773,47.67663642529022,10.396202291814161,3,Autobahn,A7,S
17906,-0.000914528865222456,47.6766380528489,10.396215490904792,3,Autobahn,A7,S
17907,-0.0009148594497469877,47.67663967111609,10.396228701194174,3,Autobahn,A7,S
17908,-0.000915178877631208,47.67664127779126,10.396241911485326,3,Autobahn,A7,S
17909,-0.0009154854434652637,47.67664287369709,10.396255123231072,3,Autobahn,A7,S
17910,-0.0009157776806128954,47.6766444591704,10.396268333660274,3,Autobahn,A7,S
17911,-0.0009160543435769447,47.67664603355325,10.396281545637562,3,Autobahn,A7,S
17912,-0.0009163144028786306,47.67664759720075,10.396294757391324,3,Autobahn,A7,S
17913,-0.0009165570278044141,47.67664915231568,10.396307980531443,3,Autobahn,A7,S
17914,-0.0009167815640897043,47.676650696336964,10.396321202603886,3,Autobahn,A7,S
17915,-0.0009169875248401916,47.67665223083806,10.396334426654748,3,Autobahn,A7,S
17916,-0.0009171745813590418,47.676653754507285,10.3963476504555,3,Autobahn,A7,S
17917,-0.0009173425462092608,47.676655269177004,10.396360875282213,3,Autobahn,A7,S
17918,-0.000917491362972582,47.67665677303354,10.396374100358898,3,Autobahn,A7,S
17919,-0.0009176211018458377,47.676658267377704,10.396387325748652,3,Autobahn,A7,S
17920,-0.0009177319453345807,47.6766597524102,10.396400551839653,3,Autobahn,A7,S
17921,-0.0009178241781548898,47.6766612281335,10.396413787353248,3,Autobahn,A7,S
17922,-0.0009178981835760039,47.6766626948028,10.396427024834527,3,Autobahn,A7,S
17923,-0.0009179544280873117,47.676664152303545,10.396440261576238,3,Autobahn,A7,S
17924,-0.0009179934518421737,47.676665599731216,10.39645349960618,3,Autobahn,A7,S
17925,-0.0009180158628207252,47.67666703854887,10.39646673764632,3,Autobahn,A7,S
17926,-0.0009180223221574424,47.67666846845869,10.396479976717716,3,Autobahn,A7,S
17927,-0.0009180135460710113,47.67666988808375,10.396493215460373,3,Autobahn,A7,S
17928,-0.0009179903099293988,47.67667129967046,10.396506455892062,3,Autobahn,A7,S
17929,-0.0009179534320681418,47.67667270299096,10.396519706003064,3,Autobahn,A7,S
17930,-0.0009179037638053444,47.676674097257106,10.396532957050683,3,Autobahn,A7,S
17931,-0.0009178421849761213,47.6766754830386,10.39654620728245,3,Autobahn,A7,S
17932,-0.0009177695951464238,47.67667685996833,10.396559459456553,3,Autobahn,A7,S
17933,-0.0009176869146294324,47.67667822806282,10.396572711608957,3,Autobahn,A7,S
17934,-0.0009175950859867195,47.676679587390794,10.396585963966725,3,Autobahn,A7,S
17935,-0.0009174950626797573,47.676680938550604,10.396599217972977,3,Autobahn,A7,S
17936,-0.0009173877979907843,47.67668228103778,10.396612471328694,3,Autobahn,A7,S
17937,-0.0009172742473237213,47.676683614988576,10.396625725678003,3,Autobahn,A7,S
17938,-0.0009171553723891091,47.676684940234146,10.396638980581422,3,Autobahn,A7,S
17939,-0.0009170321300541381,47.67668625885753,10.396652246849929,3,Autobahn,A7,S
17940,-0.0009169054629022258,47.67668756876174,10.39666551239394,3,Autobahn,A7,S
17941,-0.000916776306783294,47.676688869814136,10.396678778075916,3,Autobahn,A7,S
17942,-0.0009166455901569741,47.67669016370813,10.39669204598748,3,Autobahn,A7,S
